Term,Catalog Nbr,Acad Prog,Grade,StudentID
2015,A1,CB003,71,556
2015,A1,CB018,71,17
2015,A1,EB011,52,423
2015,A1,CB001,34,255
2015,A1,CB004,54,608
2015,A1,CB019,77,173
2015,A1,CB001,DPR,269
2015,A1,CB001,64,372
2015,A1,CB019,75,322
2015,A1,SB001,63,368
2015,A1,SB001,70,629
2015,A1,CB019,75,541
2015,A1,SB001,65,426
2015,A1,SB001,DPR,277
2015,A1,CB004,86,619
2015,A1,SB001,83,3
2015,A1,SB001,52,585
2015,A1,SB001,UP,363
2015,A1,CB004,INC,397
2015,A1,CB019,79,522
2015,A1,SB001,95,449
2015,A1,SB001,87,365
2015,A1,CB003,87,382
2015,A1,SB001,AB,231
2015,A1,CB003,89,468
2015,A1,CB003,85,549
2015,A1,SB001,72,630
2015,A1,CB001,41,587
2015,A1,CB001,50,621
2015,A1,SB001,77,633
2015,A1,CB001,84,428
2015,A1,CB003,81,448
2015,A1,CB019,56,507
2015,A1,CB001,35,594
2015,A1,CB001,55,546
2015,A1,CB003,83,407
2015,A1,CB003,79,171
2015,A1,CB003,90,430
2015,A1,CB003,99,396
2015,A1,CB004,95,487
2015,A1,CB019,60,533
2015,A1,SB001,54,183
2015,A1,CB019,57,532
2015,A1,CB019,75,538
2015,A1,SB016,DPR,325
2015,A1,SB016,DPR,273
2015,A1,HB001,DPR,576
2015,A1,CB004,70,431
2015,A1,CB019,89,521
2015,A1,CB004,91,27
2015,A1,SB016,DPR,235
2015,A1,CB019,79,199
2015,A1,SB001,50,387
2015,A1,CB001,60,444
2015,A1,CB004,72,443
2015,A1,CB001,UP,416
2015,A1,CB019,89,69
2015,A1,CB026,87,290
2015,A1,CB003,84,315
2015,A1,CB001,54,464
2015,A1,CB004,65,413
2015,A1,SB001,66,375
2015,A1,CB004,27,440
2015,A1,CB004,72,571
2015,A1,SB001,73,518
2015,A1,CB003,73,216
2015,A1,CB004,84,256
2015,A1,CB003,96,418
2015,A1,CB003,94,467
2015,A1,CB003,89,465
2015,A1,SB001,62,408
2015,A1,CB003,89,564
2015,A1,CB004,85,531
2015,A1,CB004,57,420
2015,A1,CB001,DPR,180
2015,A1,CB004,70,417
2015,A1,CB019,65,565
2015,A1,CG031,64,122
2015,A1,CB004,63,360
2015,A1,CB004,64,374
2015,A1,SB001,70,241
2015,A1,CB003,64,384
2015,A1,CB004,70,646
2015,A1,CB003,75,427
2015,A1,SZ001,86,12
2015,A1,SB001,56,623
2015,A1,CB019,68,463
2015,A1,CB004,65,477
2015,A1,CB004,86,409
2015,A1,SB001,75,287
2015,A1,CB001,37,156
2015,A1,CB019,71,550
2015,A1,CB004,73,492
2015,A1,SB016,57,357
2015,A1,CB004,60,366
2015,A1,CB003,92,373
2015,A1,CB004,65,472
2015,A1,CB019,57,432
2015,A1,CB001,64,390
2015,A1,CB003,83,526
2015,A1,CB004,50,475
2015,A1,CB019,73,395
2015,A1,SB001,59,456
2015,A1,HB062,39,346
2015,A1,CB004,UP,583
2015,A1,CB001,77,308
2015,A1,SB001,31,393
2015,A1,HB001,DPR,491
2015,A1,SB001,DPR,102
2015,A1,CB001,36,659
2015,A1,SB001,55,563
2015,A1,CB003,DPR,221
2015,A1,CB001,50,505
2015,A1,CB001,58,230
2015,A1,HB001,INC,504
2015,A1,SB001,60,436
2015,A1,CB001,62,110
2015,A1,CB003,68,392
2015,A1,CB004,DPR,313
2015,A1,HB001,25,138
2015,A1,CB001,65,298
2015,A1,CB001,78,639
2015,A1,SB001,89,593
2015,A1,SB001,42,590
2015,A1,SB001,75,604
2015,A1,CB001,70,626
2015,A1,SB016,UP,349
2015,A1,CB003,82,403
2015,A1,CB003,85,131
2015,A1,CB001,32,648
2015,A1,CB003,92,517
2015,A1,CB001,32,625
2015,A1,CB003,73,508
2015,A1,CB004,61,437
2015,A1,CB004,UP,339
2015,A1,CB001,UP,1
2015,A1,HB001,31,572
2015,A1,SZ092,DPR,343
2015,A1,SB016,60,321
2015,A1,CB019,75,605
2015,A1,CB019,80,136
2015,A1,CB001,63,380
2015,A1,CB019,64,519
2015,A1,CB004,56,174
2015,A1,CB001,26,123
2015,A1,CB019,76,530
2015,A1,CB019,90,369
2015,A1,CB003,82,624
2015,A1,CB004,42,643
2015,A1,CB011,DPR,473
2015,A1,CB001,50,476
2015,A1,CB001,62,599
2015,A1,CB004,60,569
2015,A1,CB004,59,297
2015,A1,CB019,88,239
2015,A1,CB001,58,553
2015,A1,CB011,55,87
2015,A1,CB019,83,212
2015,A1,CB001,81,278
2015,A1,CB004,60,259
2015,A1,CB004,56,168
2015,A1,CB001,57,146
2015,A1,SB001,42,289
2015,A1,CB011,33,652
2015,A1,CB023,31,614
2015,A1,CB001,72,319
2015,A1,SB001,73,13
2015,A1,CB001,UP,644
2015,A1,CB003,DPR,602
2015,A1,CB004,76,265
2015,A1,CB004,64,169
2015,A1,CB001,21,354
2015,A1,CB001,70,411
2015,A1,CB019,66,389
2015,A1,SB001,42,601
2015,A1,CB019,82,655
2015,A1,CB003,70,446
2015,A1,SB001,UP,445
2015,A1,CB003,91,574
2015,A1,CB019,70,615
2015,A1,CB003,82,466
2015,A1,CB003,63,433
2015,A1,CB001,70,144
2015,A1,CB004,26,211
2015,A1,CB019,60,514
2015,A1,CB004,DPR,447
2015,A1,SB001,51,429
2015,A1,CB019,81,459
2015,A1,CB003,89,622
2015,A1,CB004,80,498
2015,A1,SB001,66,378
2015,A1,CB004,45,441
2015,A1,CB001,71,47
2015,A1,CB001,36,627
2015,A1,CB003,DPR,525
2015,A1,CB019,81,394
2015,A1,CB019,75,376
2015,A1,CB004,55,566
2015,A1,CB003,24,560
2015,A1,CB004,52,527
2015,A1,CB004,85,385
2015,A1,SB001,81,638
2015,A1,CB001,UP,658
2015,A1,SB001,69,157
2015,A1,CB001,75,480
2015,A1,CB004,56,501
2015,A1,CB004,57,329
2015,A1,EB010,51,516
2015,A1,SB001,INC,391
2015,A1,CB001,22,570
2015,A1,CB003,89,499
2015,A1,CB003,73,364
2015,A1,CB001,62,656
2015,A1,CB004,77,303
2015,A1,CB004,51,185
2015,A1,CB004,64,410
2015,A1,SB001,42,597
2015,A1,CB004,56,434
2015,A1,CB004,65,405
2015,A1,CB019,68,415
2015,A1,SB016,51,320
2015,A1,CB019,77,419
2015,A1,CB001,60,402
2015,A1,CB004,67,545
