Term,Catalog Nbr,Acad Prog,Grade,ID
2016,A1,SB001,55,896
2016,A1,CB001,32,868
2016,A1,SB001,60,875
2016,A1,CB003,72,872
2016,A1,CB001,24,528
2016,A1,SB016,61,510
2016,A1,CB001,64,906
2016,A1,CB001,54,255
2016,A1,CB001,50,749
2016,A1,CB003,77,867
2016,A1,CB019,77,693
2016,A1,CB004,51,836
2016,A1,CB003,90,759
2016,A1,CB003,15,323
2016,A1,CB003,73,790
2016,A1,SB001,67,277
2016,A1,CB001,54,850
2016,A1,CB003,58,718
2016,A1,CB003,50,797
2016,A1,SB001,50,815
2016,A1,SB001,61,778
2016,A1,CB019,70,889
2016,A1,CB004,35,708
2016,A1,CB004,70,742
2016,A1,SB001,46A,252
2016,A1,CB004,62,645
2016,A1,SB001,74,425
2016,A1,SB001,38,231
2016,A1,CB003,78,827
2016,A1,CB019,79,841
2016,A1,CB019,75,852
2016,A1,CB019,73,507
2016,A1,CB003,68,731
2016,A1,CB003,74,861
2016,A1,SB001,46A,779
2016,A1,CB003,71,782
2016,A1,SB001,71,497
2016,A1,CB019,68,532
2016,A1,CB019,63,684
2016,A1,CB019,68,543
2016,A1,HB062,38,555
2016,A1,CB004,40,769
2016,A1,CB019,74,711
2016,A1,CB019,83,272
2016,A1,CB003,67,774
2016,A1,SB001,79,916
2016,A1,SB001,26,267
2016,A1,CB004,19,58
2016,A1,CB001,50,910
2016,A1,HB001,80,911
2016,A1,CB003,66,750
2016,A1,SB001,55,710
2016,A1,SB001,77,780
2016,A1,CB003,81,701
2016,A1,CB001,61,444
2016,A1,HB001,56,863
2016,A1,CB019,77,706
2016,A1,CB003,76,798
2016,A1,CZ092,50,949
2016,A1,CB003,60,822
2016,A1,CB019,71,795
2016,A1,CB001,61,464
2016,A1,SB001,75,737
2016,A1,CB004,38,793
2016,A1,SB001,71,932
2016,A1,CB003,81,377
2016,A1,SB001,AB,666
2016,A1,SB001,61,670
2016,A1,CB001,42,741
2016,A1,CB004,58,804
2016,A1,CB019,80,923
2016,A1,SB001,UP,603
2016,A1,CB019,60,787
2016,A1,CB003,INC,839
2016,A1,CB004,63,665
2016,A1,CB004,64,930
2016,A1,CB004,80,809
2016,A1,CB019,53,689
2016,A1,CB001,12,748
2016,A1,CB003,89,729
2016,A1,CB019,72,683
2016,A1,CB001,67,936
2016,A1,SB001,57,502
2016,A1,CB003,85,802
2016,A1,CB001,50,898
2016,A1,SB001,79,785
2016,A1,CB001,50,156
2016,A1,CB001,17,829
2016,A1,SB001,30,691
2016,A1,CB019,56,738
2016,A1,CB004,76,714
2016,A1,SB001,42,747
2016,A1,CB020,73,362
2016,A1,CB020,70,57
2016,A1,CB019,76,432
2016,A1,CB003,70,766
2016,A1,CB019,80,854
2016,A1,SB001,53,887
2016,A1,HB062,50,346
2016,A1,SB001,53,393
2016,A1,HB001,22,491
2016,A1,CB001,82,735
2016,A1,CB025,75,811
2016,A1,CB001,36,895
2016,A1,CB019,56,876
2016,A1,CB019,57,709
2016,A1,CB001,27,695
2016,A1,HB062,AB,640
2016,A1,CB019,73,744
2016,A1,CB019,73,734
2016,A1,SB001,63,705
2016,A1,CB001,52,692
2016,A1,SB001,61,879
2016,A1,CB001,AB,677
2016,A1,SB001,51,590
2016,A1,CB001,41,648
2016,A1,SB001,66,557
2016,A1,CB001,61,625
2016,A1,CB004,60,339
2016,A1,SB001,74,849
2016,A1,CB001,24,753
2016,A1,SB001,56,891
2016,A1,CB003,72,831
2016,A1,CB001,50,847
2016,A1,CB004,38,869
2016,A1,SB001,50,871
2016,A1,CB003,76,720
2016,A1,CB019,71,519
2016,A1,SB001,76,914
2016,A1,CB001,37,885
2016,A1,CB004,59,776
2016,A1,SB001,51,894
2016,A1,SB001,20,767
2016,A1,LB002,69,794
2016,A1,CB003,83,673
2016,A1,CB019,72,687
2016,A1,CB011,50,473
2016,A1,CB001,30,792
2016,A1,CB001,50,476
2016,A1,CB004,UP,796
2016,A1,CB003,70,511
2016,A1,SB001,50,713
2016,A1,CG031,68,46
2016,A1,SB016,51,578
2016,A1,CB003,73,862
2016,A1,SB001,29,830
2016,A1,CB001,35,725
2016,A1,CB026,62,703
2016,A1,CB019,47A,676
2016,A1,SB001,23,866
2016,A1,CB001,31,943
2016,A1,CB004,43,856
2016,A1,SB001,26,678
2016,A1,SB001,30,941
2016,A1,CB019,57,586
2016,A1,CB001,30,672
2016,A1,CB019,75,926
2016,A1,SB001,UP,864
2016,A1,CB011,45,652
2016,A1,SB016,59,902
2016,A1,SB001,56,897
2016,A1,SB001,55,482
2016,A1,SB001,37,909
2016,A1,CB004,53,723
2016,A1,CB004,42,764
2016,A1,CB001,22,756
2016,A1,CB003,87,716
2016,A1,CB004,81,740
2016,A1,SB001,79,807
2016,A1,CB003,79,458
2016,A1,CB003,85,73
2016,A1,CB001,35,832
2016,A1,SB001,63,918
2016,A1,CB004,57,442
2016,A1,CB003,74,433
2016,A1,CB004,80,724
2016,A1,CB019,67,514
2016,A1,CB004,55,669
2016,A1,CB001,40,917
2016,A1,CB003,30,721
2016,A1,CB001,73,883
2016,A1,CB003,71,674
2016,A1,CB004,55,890
2016,A1,CB004,35,844
2016,A1,CB004,50,441
2016,A1,SB001,37,873
2016,A1,CB001,66,627
2016,A1,CB004,59,846
2016,A1,SB001,21,743
2016,A1,SB001,55,745
2016,A1,CB019,84,717
2016,A1,CB019,85,800
2016,A1,SB001,61,817
2016,A1,CB004,68,892
2016,A1,CB004,60,826
2016,A1,SB001,81,935
2016,A1,SB001,71,493
2016,A1,HB001,34,610
2016,A1,CB004,41,712
2016,A1,CB019,66,843
2016,A1,CB001,20,851
2016,A1,CB004,52,882
2016,A1,CB001,64,730
2016,A1,CB004,53,682
2016,A1,CB001,57,657
2016,A1,EB010,45A,516
2016,A1,SB001,UP,789
2016,A1,SB001,60,765
2016,A1,CB001,84,704
2016,A1,EB001,57,29
2016,A1,SB001,45A,933
2016,A1,CB001,56,288
2016,A1,SB001,65,679
2016,A1,CB003,74,64
2016,A1,CB019,77,575
2016,A1,CB004,56,808
2016,A1,CB001,20,912
2016,A1,SB001,35,812
2016,A1,CB019,71,736
2016,A1,CB019,72,726
2016,A1,CB003,62,768
2016,A1,CB004,21,838
2016,A1,CB011,AB,270
2016,A1,CB001,73,881
2016,A1,CB004,41,675
2016,A1,SB001,53,783
2016,A1,SB001,66,653
2016,A1,SB001,24,702
2016,A1,CB004,52,810
2016,A1,CB001,72,481
2016,A1,CB019,77,777
2016,A1,CB001,58,931
2016,A1,SB001,71,899
2016,A1,SB001,76,927
2016,A1,CB004,56,755
2016,A1,SB001,24,865
2016,A1,SB001,61,697
2016,A1,SB001,57,439
2016,A1,CB019,67,801
2016,A1,CB004,43,680
2016,A1,CB001,UP,452
2016,A1,SB001,82,760
2016,A1,CB020,75,113
2016,A2,CB011,57,613
2016,A2,CB011,70,616
2016,A2,CB011,65,688
2016,A2,CB025,80,848
2016,A2,CB004,63,588
2016,A2,CB018,81,513
2016,A2,CB011,78,406
2016,A2,CB011,50,562
2016,A2,CB020,63,399
2016,A2,CB020,67,641
2016,A2,SB001,84,540
2016,A2,SB001,78,803
2016,A2,CB011,UP,757
2016,A2,CB020,79,457
2016,A2,CB020,80,788
2016,A2,CB025,72,824
2016,A2,CB011,60,628
2016,A2,CB020,81,651
2016,A2,CB020,70,611
2016,A2,CB011,56,595
2016,A2,CB025,59,947
2016,A2,CB023,50,196
2016,A2,CB011,AB,72
2016,A2,CB024,70,746
2016,A2,CB011,61,379
2016,A2,CB020,81,383
2016,A2,CB025,85,727
2016,A2,CB023,67,696
2016,A2,CB026,77,662
2016,A2,CB023,26,857
2016,A2,CB011,63,771
2016,A2,CB011,51,523
2016,A2,CB020,78,512
2016,A2,CB015,57,924
2016,A2,CB026,70,664
2016,A2,CB020,81,554
2016,A2,CB020,83,551
2016,A2,CB011,51,580
2016,A2,CB026,86,819
2016,A2,CB025,70,751
2016,A2,CB011,68,589
2016,A2,CB011,58,178
2016,A2,CB025,85,835
2016,A2,CB023,35,842
2016,A2,CB026,88,859
2016,A2,CB025,70,699
2016,A2,CB026,70,754
2016,A2,CB020,70,617
2016,A2,CB015,42,813
2016,A2,CB026,76,700
2016,A2,CB020,66,424
2016,A2,CB020,77,438
2016,A2,CB025,86,681
2016,A2,CB011,62,370
2016,A2,CB011,57,886
2016,A2,CB025,68,690
2016,A2,CB018,78,479
2016,A2,CB011,50,903
2016,A2,CB020,83,453
2016,A2,CB011,40,542
2016,A2,CB025,72,762
2016,A2,CB011,AB,537
2016,A2,CB026,81,905
2016,A2,CB011,64,635
2016,A2,CB011,50,388
2016,A2,CB011,33,636
2016,A2,CB011,62,592
2016,A2,CB011,74,620
2016,A2,CB011,45,485
2016,A2,SB001,70,901
2016,A2,CB011,35,631
2016,A2,CB018,83,478
2016,A2,CB025,75,845
2016,A2,CB011,39,561
2016,A2,CB025,89,823
2016,A2,CB025,80,825
2016,A2,CB011,37,733
2016,A2,CB011,36,632
2016,A2,CB011,62,607
2016,A2,CB024,80,781
2016,A2,CB020,74,591
2016,A2,CB024,64,874
2016,A2,CB020,73,509
2016,A2,CB023,74,667
2016,A2,CB018,80,529
2016,A2,CB015,42,515
2016,A2,CB011,36,520
2016,A2,CB011,53,870
2016,A2,CB011,62,488
2016,A2,CB011,50,828
2016,A2,CB024,62,818
2016,A2,CB018,79,404
2016,A2,CB011,33,609
