Term,Catalog Nbr,Acad Prog,Grade,ID
2022,B2,CB003,50,2319
2022,B2,CB025,UP,2227
2022,B2,CB003,53,2381
2022,B2,CB004,38,2495
2022,B2,CB003,79,1956
2022,B2,CB003,UP,2134
2022,B2,CB001,50,650
2022,B2,CB003,33,2145
2022,B2,CB018,64,2224
2022,B2,CB024,33,2468
2022,B2,CB003,54,2412
2022,B2,CB024,AB,2075
2022,B2,SB001,72,1820
2022,B2,CB001,28,2048
2022,B2,SB001,53,2141
2022,B2,CB003,73,2596
2022,B2,CB026,56,1963
2022,B2,CB003,50,2287
2022,B2,CB023,29,1974
2022,B2,SB001,66,31
2022,B2,SB001,55,2481
2022,B2,CB003,52,2569
2022,B2,CB001,54,2094
2022,B2,CB003,54,2179
2022,B2,CB003,65,2308
2022,B2,CB003,48,1972
2022,B2,CB003,64,2104
2022,B2,CB025,UP,2398
2022,B2,CB011,AB,1772
2022,B2,CB004,DPR,2529
2022,B2,CB011,23,2069
2022,B2,SB001,DPR,2277
2022,B2,CB026,54,2035
2022,B2,CB024,43,2303
2022,B2,CZ001,52,663
2022,B2,SB001,36,2341
2022,B2,CB004,37,2358
2022,B2,CB001,43,2040
2022,B2,CB003,50,2033
2022,B2,SB001,50,2325
2022,B2,CB003,UP,2359
2022,B2,CB001,28,1148
2022,B2,SB001,UP,2304
2022,B2,CB003,56,2071
2022,B2,CB003,58,1803
2022,B2,CB003,66,2432
2022,B2,CB004,56,2369
2022,B2,CB003,32,2144
2022,B2,CB001,56,2352
2022,B2,CB004,34,2074
2022,B2,CB003,53,2186
2022,B2,CB003,40,2410
2022,B2,CB003,60,2137
2022,B2,CB004,54,2404
2022,B2,CB003,71,1965
2022,B2,CB019,UP,1336
2022,B2,CB025,61,1951
2022,B2,CB025,53,1933
2022,B2,CB023,58,2356
2022,B2,CB003,64,1585
2022,B2,CB019,62,1886
2022,B2,CB003,50,1982
2022,B2,CB003,53,2088
2022,B2,CB004,51,2474
2022,B2,CB003,53,2461
2022,B2,CB024,54,2244
2022,B2,CB023,39,2590
2022,B2,SB001,50,2375
2022,B2,SB001,36,2018
2022,B2,CB023,39,2013
2022,B2,CB024,50,2166
2022,B2,CB004,59,1937
2022,B2,CB019,68,1694
2022,B2,CB004,35,2507
2022,B2,CB025,43,2397
2022,B2,SB001,50,1487
2022,B2,CB001,42,2197
2022,B2,CB003,52,2482
2022,B2,SB001,62,1741
2022,B2,CB001,50,2544
2022,B2,SZ001,34,2821
2022,B2,CB023,37,2081
2022,B2,CB003,43,2532
2022,B2,CB025,51,2096
2022,B2,CB025,59,2119
2022,B2,SB001,57,2249
2022,B2,CB011,61,1684
2022,B2,CB015,UP,2045
2022,B2,SB001,18,1836
2022,B2,CB003,50,2167
2022,B2,CB026,50,1988
2022,B2,CB001,DPR,2376
2022,B2,SB001,39,2519
2022,B2,CB004,UP,2509
2022,B2,CB023,58,1851
2022,B2,CB015,52,2038
2022,B2,CB003,75,2365
2022,B2,CB004,40,2344
2022,B2,SB001,42,2267
2022,B2,CB023,42,2169
2022,B2,CB026,59,2083
2022,B2,CB004,42,2346
2022,B2,CB023,38,1825
2022,B2,CB003,50,1809
2022,B2,CB003,59,2527
2022,B2,CB019,68,2335
2022,B2,CB004,AB,2348
2022,B2,CB025,63,1796
2022,B2,CB003,UP,2333
2022,B2,CB025,54,2060
2022,B2,CB004,DPR,2329
2022,B2,CB025,56,2077
2022,B2,CB003,73,2423
2022,B2,CB025,62,2009
2022,B2,CB025,72,1964
2022,B2,CB004,AB,2041
2022,B2,CB003,55,2291
2022,B2,CB001,47,2372
2022,B2,CB003,56,2448
2022,B2,CB018,69,2111
2022,B2,CB003,UP,2011
2022,B2,CB004,50,2351
2022,B2,CB026,66,2055
2022,B2,CB025,50,2176
2022,B2,CB003,51,2312
2022,B2,CB025,68,2378
2022,B2,CB004,32,2282
2022,B2,CB025,53,1998
2022,B2,CB023,26,2228
2022,B2,CB003,UP,1968
2022,B2,CB019,36,1665
2022,B2,CB025,AB,2396
2022,B2,CB019,19,1849
2022,B2,CB004,39,2109
2022,B2,CB003,51,2168
2022,B2,CB003,53,2118
2022,B2,CB003,68,1942
2022,B2,CB003,39,2512
2022,B2,CB003,58,2338
2022,B2,CB004,AB,2008
2022,B2,CB025,62,2021
2022,B2,CB011,33,1766
2022,B2,CB003,UP,2436
2022,B2,CB025,33,2070
2022,B2,CB026,68,1976
2022,B2,CB004,24,1977
2022,B2,CB004,32,2005
2022,B2,CB004,40,2113
2022,B2,CB003,50,2477
2022,B2,CB018,52,2182
2022,B2,CB026,56,2185
2022,B2,CB019,65,2217
2022,B2,CB003,54,1985
2022,B2,CB004,LOA,2318
2022,B2,CB003,53,2326
2022,B2,CB020,55,2072
2022,B2,SB001,62,2279
2022,B2,CB003,57,2105
2022,B2,CB023,42,1995
2022,B2,CB019,60,1859
2022,B2,CB003,62,2285
2022,B2,CB003,64,2363
2022,B2,CB003,74,2513
2022,B2,CB003,63,2405
2022,B2,CB003,64,2127
2022,B2,CB003,UP,2473
2022,B2,SB001,51,2487
2022,B2,CB003,66,2541
2022,B2,CU020,DPR,945
2022,B2,CB025,43,2425
2022,B2,SB001,60,2216
2022,B2,CB003,68,2067
2022,B2,CB019,UP,1817
2022,B2,SB001,39,1754
2022,B2,CB003,48,2377
2022,B2,CB003,UP,2399
2022,B2,CB001,31,2064
2022,B2,CB004,53,2159
2022,B2,CB003,68,2248
